chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AI,2023-06-02,27.5000,call,buy,2023-05-23T19:45:02.532034Z,debit,2.00000,limit,long_call,,2.40000000,2.00000
CVNA,2023-06-02,12.5000,call,buy,2023-05-23T19:43:56.236809Z,debit,11.00000,limit,long_call,,0.98000000,11.00000
NVDA,2023-06-02,295.0000,put,buy,2023-05-23T19:37:49.351602Z,debit,1.00000,limit,long_put,,6.35000000,1.00000
NVDA,2023-06-02,297.5000,put,sell,2023-05-23T19:37:13.910134Z,credit,1.00000,limit,,long_put,7.20000000,1.00000
AI,2023-06-09,37.0000,call,buy,2023-05-22T19:58:47.186824Z,debit,1.00000,limit,long_call,,0.75000000,1.00000
NVDA,2023-06-02,297.5000,put,buy,2023-05-22T19:57:58.353222Z,debit,1.00000,limit,long_put,,6.40000000,1.00000
NVDA,2023-06-02,335.0000,call,buy,2023-05-22T19:54:17.265669Z,debit,2.00000,limit,long_call,,4.70000000,2.00000
NVDA,2023-05-26,305.0000,put,sell,2023-05-22T19:52:10.720133Z,credit,1.00000,limit,,long_put,7.50000000,1.00000
AI,2023-05-26,24.0000,put,buy,2023-05-22T19:48:37.896153Z,debit,7.00000,limit,long_put,,0.20000000,7.00000
AI,2023-06-02,30.0000,call,sell,2023-05-22T19:47:17.363251Z,credit,11.00000,limit,,long_call,1.70000000,11.00000
AI,2023-06-02,30.0000,call,buy,2023-05-22T18:04:22.211905Z,debit,11.00000,limit,long_call,,1.65000000,11.00000
AI,2023-06-02,29.0000,call,sell,2023-05-22T17:23:39.792318Z,credit,15.00000,limit,,long_call,1.70000000,15.00000
AI,2023-06-02,29.0000,call,buy,2023-05-19T19:52:41.275029Z,debit,5.00000,limit,long_call,,1.20000000,5.00000
AI,2023-05-26,24.0000,put,buy,2023-05-19T19:51:59.821117Z,debit,7.00000,limit,long_put,,0.90000000,7.00000
AI,2023-05-26,25.0000,put,sell,2023-05-19T19:36:43.538156Z,credit,6.00000,limit,,long_put,1.35000000,6.00000
NVDA,2023-05-26,305.0000,put,buy,2023-05-18T19:50:56.711587Z,debit,1.00000,limit,long_put,,7.05000000,1.00000
NVDA,2023-06-02,285.0000,put,sell,2023-05-18T19:50:00.650821Z,credit,1.00000,limit,,long_put,3.20000000,1.00000
NVDA,2023-06-02,335.0000,call,buy,2023-05-18T19:49:46.820474Z,debit,2.00000,limit,long_call,,7.25000000,2.00000
AI,2023-05-26,25.0000,put,buy,2023-05-18T19:39:07.549295Z,debit,6.00000,limit,long_put,,1.00000000,6.00000
AI,2023-06-02,29.0000,call,buy,2023-05-18T19:38:42.806882Z,debit,10.00000,limit,long_call,,1.85000000,10.00000
AMD,2023-07-21,115.0000,call,sell,2023-05-18T19:34:39.107189Z,credit,3.00000,limit,,long_call,4.80000000,3.00000
NVDA,2023-06-02,310.0000,call,sell,2023-05-18T19:34:28.138477Z,credit,2.00000,limit,,long_call,17.60000000,2.00000
NVDA,2023-06-02,310.0000,call,buy,2023-05-17T19:53:05.238318Z,debit,2.00000,limit,long_call,,9.65000000,2.00000
NVDA,2023-06-02,285.0000,put,buy,2023-05-17T19:47:13.359338Z,debit,1.00000,limit,long_put,,6.30000000,1.00000
NVDA,2023-05-26,300.0000,call,sell,2023-05-17T19:44:47.296405Z,credit,1.00000,limit,,long_call,12.50000000,1.00000
NVDA,2023-05-26,272.5000,put,sell,2023-05-17T19:38:15.572613Z,credit,1.00000,limit,,long_put,2.47000000,1.00000
AMD,2023-06-16,95.0000,put,sell,2023-05-17T15:02:18.010101Z,credit,2.00000,limit,,long_put,2.32000000,2.00000
NVDA,2023-05-26,250.0000,put,sell,2023-05-17T15:01:52.826947Z,credit,3.00000,limit,,long_put,0.65000000,3.00000
NVDA,2023-05-26,272.5000,put,buy,2023-05-16T19:39:58.019446Z,debit,1.00000,limit,long_put,,4.50000000,1.00000
AMD,2023-06-16,95.0000,put,buy,2023-05-16T19:38:24.426415Z,debit,1.00000,limit,long_put,,2.33000000,1.00000
AMD,2023-07-21,115.0000,call,buy,2023-05-16T19:38:09.219346Z,debit,3.00000,limit,long_call,,3.70000000,3.00000
NVDA,2023-05-26,300.0000,call,buy,2023-05-16T19:34:46.760569Z,debit,1.00000,limit,long_call,,9.40000000,1.00000
NVDA,2023-05-26,292.5000,call,sell,2023-05-16T19:31:49.280470Z,credit,2.00000,limit,,long_call,12.90000000,2.00000
AMD,2023-07-21,105.0000,call,sell,2023-05-16T19:21:14.058372Z,credit,6.00000,limit,,long_call,6.40000000,6.00000
NVDA,2023-05-26,250.0000,put,buy,2023-05-15T19:58:35.050649Z,debit,3.00000,limit,long_put,,1.34000000,3.00000
NVDA,2023-05-19,280.0000,put,sell,2023-05-15T19:27:12.358843Z,credit,2.00000,limit,,long_put,1.10000000,2.00000
AMD,2023-07-21,105.0000,call,buy,2023-05-12T19:48:34.899957Z,debit,2.00000,limit,long_call,,3.55000000,2.00000
NVDA,2023-05-19,280.0000,put,buy,2023-05-12T19:47:38.911254Z,debit,2.00000,limit,long_put,,3.45000000,2.00000
